slug,name,discipline,status,incumbent,advantage_evidence,advantage_x,capex_usd,gross_margin_pct_at_parity,payback_months,capital_productivity_x,months_to_first_revenue,market_absence_verified,regulatory_risk,assessed_date,price_usd,tier,failure_codes,voided_by
natural-gamma-decalactone-and-fruity-aromas-via-solid-state-fermentati,Natural Gamma-Decalactone and Fruity Aromas via Solid-State Fermentation of *Ceratocystis fimbriata*,Industrial Biotechnology / Flavor & Fragrance,Rejected,Yarrowia lipolytica submerged liquid fermentation of castor oil,none,,350000,-283.8,,0.03,24,no,med,2026-08-27,,,opex_driven_margin,"C, D, E, F, G"
high-purity-mesoporous-silica-nanoparticles-via-alkaline-extraction-of,High-Purity Mesoporous Silica Nanoparticles via Alkaline Extraction of Rice Husk Ash,Materials Science / Chemical Engineering,Rejected,SYLOID® 244 FP (W.R. Grace & Co.),"Parity on purity (≥ 99.0%) and particle size (5-7 µm); price ratio at lower bound is 1.93x ($6.00 vs $11.61/kg), falling below the 2x step-change bar",2.0,185000,78.0,8.5,2.92,24,no,med,2026-08-27,,,,"C, E, G"
commercial-bacteriorhodopsin-production-via-non-sterile-hypersaline-cu,Commercial Bacteriorhodopsin Production via Non-Sterile Hypersaline Cultivation of *Halobacterium salinarum*,Biomanufacturing / Synthetic Biology,Rejected,Inorganic Optically Variable Pigments (Merck Iriodin or multichrome chameleon pigments),none,,,,,,19,no,low,2026-08-27,,,,"C, D, G"
high-porosity-vaterite-nanoparticles-via-microbially-induced-calcium-c,High-Porosity Vaterite Nanoparticles via Microbially Induced Calcium Carbonate Precipitation (MICP),Biotechnology / Nanomaterials,Rejected,Mesoporous Silica Nanoparticles (MSNs),none,,355000,100.0,0.0,2738.03,24,no,med,2026-08-27,,,,"C, D, E, F, G"
high-purity-shikonin-via-aeroponic-hairy-root-bioreactors,High-Purity Shikonin via Aeroponic Hairy Root Bioreactors,Plant Biotechnology,Rejected,98% Shikonin API derived from traditional field-grown Gromwell root (CAS 517-89-5),"Product purity is identical to the incumbent at 98% API, and extraction yield improvements are only +20% (1.2x), failing the 2x performance superiority bar.",2.0,325000,74.2,415.8,0.06,18,no,med,2026-08-27,,,opex_driven_margin,"C, D, E"
premium-sophorolipids-via-solid-state-fermentation-of-winterization-oi,Premium Sophorolipids via Solid-State Fermentation of Winterization Oil Cake,Biotechnology / Biochemical Engineering,Rejected,Alkyl Polyglucoside (APG),none,,6700000,-198.4,,0.09,24,no,med,2026-08-27,,,opex_driven_margin,"C, D, E, G"
plant-derived-exosome-like-nanovesicles-pelnvs-via-continuous-tangenti,Plant-Derived Exosome-Like Nanovesicles (PELNVs) via Continuous Tangential Flow Filtration,Biotechnology / Cosmetics,Rejected,PhytoCellTec Malus Domestica,none,,114265,99.3,0.1,118.7,6,no,med,2026-08-27,,,,E
ectoine-via-unsterile-bacterial-milking-of-halomonas-elongata,Ectoine via Unsterile 'Bacterial Milking' of Halomonas elongata,Industrial Biotechnology,Rejected,Bitop AG (Ectoin® natural),none,,1250000,-211.5,,0.04,24,no,low,2026-08-27,,,opex_driven_margin,"C, D, E"
c-phycocyanin-via-heterotrophic-cultivation-of-galdieria-sulphuraria,C-Phycocyanin via Heterotrophic Cultivation of Galdieria sulphuraria,Microalgae Biotechnology,Rejected,"Spirulina Extract (C-Phycocyanin, E25 Grade)","Maintains stability down to pH 2.8 and up to 60°C, whereas Spirulina E25 denatures above 45°C and irreversibly precipitates below pH 4.0.",,,,,,48,no,med,2026-08-27,,,,"C, D"
drought-resilient-dark-septate-endophyte-dse-inoculants-via-solid-stat,Drought-Resilient Dark Septate Endophyte (DSE) Inoculants via Solid-State Fermentation of Agro-Medicinal Residues,Agricultural Biologicals,Cleared,MycoApply® Ultrafine Endo (Mycorrhizal Applications / Valent Biosciences),"0% colonization for incumbent AMF vs >30% root colonization for DSE in non-mycorrhizal Brassicaceae crops, representing a categorical capability advantage in the declared entry market.",,205000,95.4,4.9,3.81,12,no,med,2026-08-27,999,Premium,,none
biological-pullulan-foliar-anti-transpirants-via-aureobasidium-pullula,Biological Pullulan Foliar Anti-Transpirants via *Aureobasidium pullulans* Fermentation on Molasses Waste,Industrial Microbiology,Rejected,,,,,,,,,no,,2026-08-27,,,no_superiority_table,
nitrogen-fixing-cyanobacterial-biocrust-consortia-via-thin-film-cellul,Nitrogen-Fixing Cyanobacterial Biocrust Consortia via Thin-Film Cellulose Matrix Propagation,Soil Microbiology,Rejected,,,,,,,,,no,,2026-08-27,,,no_superiority_table,
brassicaceae-compatible-endophytic-inoculants-via-axenic-submerged-fer,Brassicaceae-Compatible Endophytic Inoculants via Axenic Submerged Fermentation of Serendipita indica,Agricultural Biotechnology,Rejected,Penicillium bilaiae (JumpStart by Novonesis),Canola yield increase of +6.5% to +6.7% vs incumbent's +5.0% to +8.0% (~1.0x / parity); seed oil content increase of +0.9% absolute.,1.0,,,,,24,no,low,2026-08-28,,,,"C, D, E, G"
halophile-derived-siderophores-via-non-sterile-hypersaline-fermentatio,Halophile-Derived Siderophores via Non-Sterile Hypersaline Fermentation,Agtech / Industrial Biotech,Rejected,Sequestrene 138 Fe,"1.25x advantage on active stereoisomer content, but <1x regression on in-soil longevity requiring a double dose to match incumbent efficacy",1.25,,,,,12,no,med,2026-08-28,,,,"D, E"
acc-deaminase-secreting-desert-streptomyces-via-solid-state-fermentati,ACC-Deaminase-Secreting Desert Streptomyces via Solid-State Fermentation,Agricultural Microbiology,Rejected,"Chemical Anti-Transpirants (e.g., Vapor-Gard) / Generic PGPR (Bacillus subtilis)","Claims 35% yield rescue in tomato under drought, but the cited study compared against an untreated negative control rather than the named incumbent anti-transpirants or PGPR.",,,,,,14,no,med,2026-08-28,,,negative_control,none
premium-high-barrier-packaging-plastics-phbv-via-non-sterile-halophili,Premium High-Barrier Packaging Plastics (PHBV) via Non-Sterile Halophilic Fermentation,,Rejected,,,,,,,,,no,,2026-08-28,,,,
halogen-free-flame-retardants-via-synthesis-of-hexagonal-magnesium-hyd,Halogen-Free Flame Retardants via Synthesis of Hexagonal Magnesium Hydroxide Nanosheets,,Rejected,,,,,,,,,no,,2026-08-28,,,,
advanced-polymer-reinforcement-via-brine-mediated-co2-mineralization-o,Advanced Polymer Reinforcement via Brine-Mediated CO2 Mineralization of Aragonite Whiskers,,Rejected,,,,,,,,,no,,2026-08-28,,,,
enzymatic-synthesis-of-estolide-biolubricants-via-direct-castor-oil-tr,Enzymatic Synthesis of Estolide Biolubricants via Direct Castor Oil Transesterification,Advanced Oleochemicals,Rejected,Polyalphaolefin (PAO / PAO 4 / PAO 6) and Mineral Oil,Wear scar diameter of 106 µm vs ~600 µm (standard diesel benchmark) / ~200 µm (PAO),,,,,,24,no,med,2026-08-28,,,,B
plant-derived-urease-driven-enzyme-induced-carbonate-precipitation-eic,Plant-Derived Urease-Driven Enzyme-Induced Carbonate Precipitation (EICP),Biogeotechnics / Environmental Remediation,Rejected,Ordinary Portland Cement (OPC),1.83x unconfined compressive strength improvement (6.41 MPa vs 3.5 MPa for 10% Portland cement mix) at 3.3x higher raw material cost ($52/m³ vs $15.52/m³),3.3,,,,,12,no,low,2026-08-28,,,,"B, D, E, G"
